"storeId","store-event-date"
"664","2016-05-20"
"664","2016-05-21"
"664","2016-05-27"
"664","2016-05-28"
"666","2016-05-20"
"666","2016-05-21"
"666","2016-05-27"
"666","2016-05-28"
"3946","2016-05-20"
"3946","2016-05-21"
"3946","2016-05-27"
"3946","2016-05-28"
"668","2016-05-20"
"668","2016-05-21"
"668","2016-05-27"
"668","2016-05-28"
"3947","2016-04-29"
"3947","2016-04-30"
"670","2016-04-29"
"670","2016-04-30"
"136966","2016-05-20"
"136966","2016-05-21"
"136966","2016-05-27"
"136966","2016-05-28"
"672","2016-05-20"
"672","2016-05-21"
"672","2016-05-27"
"672","2016-05-28"
"673","2016-05-13"
"673","2016-05-14"
"673","2016-05-20"
"673","2016-05-21"
"673","2016-05-27"
"673","2016-05-28"
"674","2016-05-20"
"674","2016-05-21"
"674","2016-05-27"
"674","2016-05-28"
"227287","2016-05-13"
"227287","2016-05-14"
"227287","2016-05-20"
"227287","2016-05-21"
"227287","2016-05-27"
"227287","2016-05-28"
"675","2016-05-13"
"675","2016-05-14"
"675","2016-05-20"
"675","2016-05-21"
"675","2016-05-27"
"675","2016-05-28"
"3951","2016-05-20"
"3951","2016-05-21"
"3951","2016-05-27"
"3951","2016-05-28"
"676","2016-05-13"
"676","2016-05-14"
"676","2016-05-20"
"676","2016-05-21"
"676","2016-05-27"
"676","2016-05-28"
"681","2016-05-20"
"681","2016-05-21"
"681","2016-05-27"
"681","2016-05-28"
"680","2016-05-13"
"680","2016-05-14"
"680","2016-05-20"
"680","2016-05-21"
"680","2016-05-27"
"680","2016-05-28"
"227297","2016-05-20"
"227297","2016-05-21"
"227297","2016-05-27"
"227297","2016-05-28"
"24424","2016-05-27"
"24424","2016-05-28"
"686","2016-05-20"
"686","2016-05-21"
"686","2016-05-27"
"686","2016-05-28"
"689","2016-05-13"
"689","2016-05-14"
"689","2016-05-20"
"689","2016-05-21"
"689","2016-05-27"
"689","2016-05-28"
"692","2016-05-13"
"692","2016-05-14"
"692","2016-05-20"
"692","2016-05-21"
"692","2016-05-27"
"692","2016-05-28"
"292549","2016-05-13"
"292549","2016-05-14"
"292549","2016-05-20"
"292549","2016-05-21"
"292549","2016-05-27"
"292549","2016-05-28"
"696","2016-05-20"
"696","2016-05-21"
"696","2016-05-27"
"696","2016-05-28"
"24421","2016-05-20"
"24421","2016-05-21"
"24421","2016-05-27"
"24421","2016-05-28"
"698","2016-05-27"
"698","2016-05-28"
"697","2016-05-27"
"697","2016-05-28"
"700","2016-05-13"
"700","2016-05-14"
"700","2016-05-20"
"700","2016-05-21"
"700","2016-05-27"
"700","2016-05-28"
"707","2016-05-13"
"707","2016-05-14"
"707","2016-05-20"
"707","2016-05-21"
"707","2016-05-27"
"707","2016-05-28"
"703","2016-05-13"
"703","2016-05-14"
"703","2016-05-20"
"703","2016-05-21"
"703","2016-05-27"
"703","2016-05-28"
"706","2016-04-29"
"706","2016-04-30"
"141","2016-05-13"
"141","2016-05-14"
"141","2016-05-20"
"141","2016-05-21"
"141","2016-05-27"
"141","2016-05-28"
"704","2016-05-13"
"704","2016-05-14"
"704","2016-05-20"
"704","2016-05-21"
"704","2016-05-27"
"704","2016-05-28"
"714","2016-05-20"
"714","2016-05-21"
"714","2016-05-27"
"714","2016-05-28"
"85608","2016-04-29"
"85608","2016-04-30"
"715","2016-05-27"
"715","2016-05-28"
"474484","2016-04-29"
"474484","2016-04-30"
"3961","2016-05-20"
"3961","2016-05-21"
"3961","2016-05-27"
"3961","2016-05-28"
"717","2016-05-20"
"717","2016-05-21"
"717","2016-05-27"
"717","2016-05-28"
"718","2016-05-20"
"718","2016-05-21"
"718","2016-05-27"
"718","2016-05-28"
"162309","2016-05-13"
"162309","2016-05-14"
"162309","2016-05-20"
"162309","2016-05-21"
"162309","2016-05-27"
"162309","2016-05-28"
"181770","2016-05-13"
"181770","2016-05-14"
"181770","2016-05-20"
"181770","2016-05-21"
"181770","2016-05-27"
"181770","2016-05-28"
"722","2016-05-13"
"722","2016-05-14"
"722","2016-05-20"
"722","2016-05-21"
"722","2016-05-27"
"722","2016-05-28"
"723","2016-05-13"
"723","2016-05-14"
"723","2016-05-20"
"723","2016-05-21"
"723","2016-05-27"
"723","2016-05-28"
"721","2016-04-29"
"721","2016-04-30"
"135800","2016-04-29"
"135800","2016-04-30"
"724","2016-05-20"
"724","2016-05-21"
"724","2016-05-27"
"724","2016-05-28"
"726","2016-04-29"
"726","2016-04-30"
"727","2016-04-29"
"727","2016-04-30"
"227298","2016-05-13"
"227298","2016-05-14"
"227298","2016-05-20"
"227298","2016-05-21"
"227298","2016-05-27"
"227298","2016-05-28"
"357939","2016-05-20"
"357939","2016-05-21"
"357939","2016-05-27"
"357939","2016-05-28"
"729","2016-05-13"
"729","2016-05-14"
"729","2016-05-20"
"729","2016-05-21"
"729","2016-05-27"
"729","2016-05-28"
"730","2016-05-20"
"730","2016-05-21"
"730","2016-05-27"
"730","2016-05-28"
"474486","2016-04-29"
"474486","2016-04-30"
"178012","2016-05-13"
"178012","2016-05-14"
"178012","2016-05-20"
"178012","2016-05-21"
"178012","2016-05-27"
"178012","2016-05-28"
"735","2016-05-13"
"735","2016-05-14"
"735","2016-05-20"
"735","2016-05-21"
"735","2016-05-27"
"735","2016-05-28"
"736","2016-04-29"
"736","2016-04-30"
"474487","2016-05-13"
"474487","2016-05-14"
"474487","2016-05-20"
"474487","2016-05-21"
"474487","2016-05-27"
"474487","2016-05-28"
"227292","2016-05-20"
"227292","2016-05-21"
"227292","2016-05-27"
"227292","2016-05-28"
"3964","2016-05-13"
"3964","2016-05-14"
"3964","2016-05-20"
"3964","2016-05-21"
"3964","2016-05-27"
"3964","2016-05-28"
"354072","2016-05-27"
"354072","2016-05-28"
"815","2016-05-20"
"815","2016-05-21"
"815","2016-05-27"
"815","2016-05-28"
"66588","2016-05-13"
"66588","2016-05-14"
"66588","2016-05-20"
"66588","2016-05-21"
"66588","2016-05-27"
"66588","2016-05-28"
"66541","2016-05-27"
"66541","2016-05-28"
"474561","2016-05-20"
"474561","2016-05-21"
"474561","2016-05-27"
"474561","2016-05-28"
"66539","2016-05-20"
"66539","2016-05-21"
"66539","2016-05-27"
"66539","2016-05-28"
"66590","2016-05-20"
"66590","2016-05-21"
"66590","2016-05-27"
"66590","2016-05-28"
"66474","2016-05-27"
"66474","2016-05-28"
"66580","2016-05-20"
"66580","2016-05-21"
"66580","2016-05-27"
"66580","2016-05-28"
"66581","2016-05-20"
"66581","2016-05-21"
"66581","2016-05-27"
"66581","2016-05-28"
"66593","2016-05-20"
"66593","2016-05-21"
"66593","2016-05-27"
"66593","2016-05-28"
"66594","2016-05-13"
"66594","2016-05-14"
"66594","2016-05-20"
"66594","2016-05-21"
"66596","2016-05-20"
"66596","2016-05-21"
"66596","2016-05-27"
"66596","2016-05-28"
"66599","2016-05-13"
"66599","2016-05-15"
"66599","2016-05-20"
"66599","2016-05-22"
"66599","2016-05-29"
"66598","2016-05-20"
