"storeId","storeName","address1","city","postalCode","countryCode","email","latitude","longitude","storeHours","teaMachineRetailer","teaAnimation","teaRepairCenter"
"664","Boulanger Beynost","Centre Commercial Lerclerc","Beynost","01700","FR","","","","Du lundi au Samedi de 09:30 à 19:30","1","1","0"
"665","Boulanger Saint-Quentin","Parc d'activité commercial RN 29","Saint-Quentin","02100","FR","","","","Du lundi au Samedi - 09:30 à 19:30","0","0","0"
"666","Boulanger Mandelieu-la-Napoule","ZI La Canardière RN 7","Mandelieu-la-Napoule","06210","FR","","","","Du lundi au Samedi - 09:30 à 19:30","1","1","0"
"667","Boulanger Saint-Parres-aux-Tertres","Avenue du Général de Gaulle","Saint-Parres-aux-Tertres","10410","FR","","","","Du lundi au Samedi - 09:30 à 12:30 - 14:00 à 19:30","0","0","0"
"3946","Boulanger La Valentine","traverse de la Montre","Marseille 11e Arrondissement","13011","FR","","","","Du lundi au Samedi - 09:30 à 20:00","1","1","0"
"3948","Boulanger Grand Vitrolles","RN 113","Vitrolles","13127","FR","","","","Du lundi au Samedi - 09:30 à 20:00","0","0","0"
"668","Boulanger Aubagne","Centre Commercial Auchan","Aubagne","13400","FR","","","","Du lundi au Samedi - 09:30 à 20:00","1","1","0"
"3947","Boulanger Plan de Campagne","Zone Commerciale Plan de Campagne","Les Pennes-Mirabeau","13751","FR","","","","Du lundi au Samedi - 10:00 à 20:00","1","1","0"
"670","Boulanger Mondeville","Centre Commercial Carrefour ""Mondeville 2"" (ancien decathlon)","Mondeville","14120","FR","","","","Du lundi au Samedi - 09:45 à 19:45","1","1","0"
"136966","Boulanger Angoulins","ZAC DES ORMEAUX 17690 ANGOULINS","Angoulins","17690","FR","","","","Du lundi au Samedi - 10:00 à 19:30","1","1","0"
"80099","Boulanger Saint-Doulchard","1185 Route d'Orléans","Saint-Doulchard","18230","FR","","","","Du lundi au Samedi - 10:00 à 19:30","0","0","0"
"474482","Boulanger Dijon La Toison d'Or","Centre Commercial la ""Toison d'Or""","Dijon","21000","FR","","","","Du lundi au Samedi - 10:00 à 20:00","0","0","0"
"671","Boulanger Quetigny","21 boulevard du Champ aux Métiers","Quetigny","21800","FR","","","","Du lundi au Samedi - 09:30 à 19:30","0","0","0"
"672","Boulanger Langueux","2 rue Jacques Cartier","Langueux","22360","FR","","","","Du lundi au Samedi - 09:30 à 12:30 - 14:00 à 19:30","0","0","0"
"136914","Boulanger Trélissac","C. Cial La Feuilleraie","Trélissac CEDEX","24750","FR","","","","Du lundi au Samedi - 09:30 à 12:30 - 14:00 à 19:00","0","0","0"
"673","Boulanger Besançon","Rue Guillaume Appolinaire","Besançon","25000","FR","","","","Du lundi au Samedi - 09:30 à 20:00","1","1","0"
"674","Boulanger Valence","Centre Commercial ""Les Couleures""","Valence","26000","FR","","","","Du lundi au Samedi - 09:30 à 19:30","1","1","0"
"227287","Boulanger Brest","105 rue Pierre Jakez Hélias","Guipavas","29490","FR","","","","Du lundi au Samedi - 10:00 à 20:00","1","1","0"
"675","Boulanger Nîmes","155 rue Paul Laurent","Nîmes","30900","FR","","","","Du lundi au Samedi - 09:30 à 20:00","1","1","0"
"3951","Boulanger Portet sur Garonne","Boulevard de l'Europe","Portet-sur-Garonne","31120","FR","","","","Du lundi au Samedi - 09:30 à 20:00","1","1","0"
"227296","Boulanger Saint Orens","1 bis allée des Champs Pinsons","Saint-Orens-de-Gameville","31650","FR","","","","Du lundi au Samedi - 10:00 à 19:30","0","0","0"
"676","Boulanger Colomiers","Rue Marie Curie","Colomiers","31770","FR","","","","Du lundi au Samedi - 09:30 à 19:30","1","1","0"
"681","Boulanger Villenave-d'Ornon","Rue André Bourvil","Villenave-d'Ornon","33140","FR","","","","Du lundi au Samedi - 09:30 à 19:30","1","1","0"
"678","Boulanger Bordeaux","avenue des 40 journaux","Bordeaux","33300","FR","","","","Du lundi au Samedi - 10:00 à 19:30","1","1","0"
"136528","Boulanger Biganos","C. Cial Les Portes du Delta","Biganos","33380","FR","","","","Du lundi au Samedi - 10:00 à 19:30","0","0","0"
"679","Boulanger Libourne","Centre Commercial Carrefour Prés de BORDEAUX","Libourne","33500","FR","","","","Du lundi au Samedi - 10:00 à 12:30 - 14:00 à 19:30","0","0","0"
"680","Boulanger MÉRIGNAC 2 Rue Jacques Anquetil","2 Rue Jacques Anquetil","Mérignac","33700","FR","","","","Du lundi au Samedi - 09:30 à 19:30","0","0","0"
"227297","boulanger Beziers","155 rue Jean Brulier du Vercors","Béziers","34500","FR","","","","Du lundi au Samedi - 09:30 à 19:30","1","1","0"
"474485","Boulanger Rennes","11 Rue de La Visitation","Rennes","35000","FR","","","","Du lundi au Samedi - 10:00 à 19:30","0","0","0"
"682","Boulanger Chantepie","Parc activité rocade sud - Allée de Guerlédan","Chantepie","35135","FR","","","","Du lundi au Samedi - 09:30 à 19:30","0","0","0"
"683","Boulanger Chambray-lès-Tours","108 Avenue du grand Sud","Chambray-lès-Tours","37170","FR","","","","Du lundi au Samedi - 10:00 à 19:30","0","0","0"
"24424","Boulanger SAINT-PIERRE-DES-CORPS Centre Cial Les Atlantes","Centre Cial Les Atlantes","Saint-Pierre-des-Corps","37700","FR","","","","Du lundi au Samedi - 10:00 à 20:00","0","0","0"
"686","Boulanger L'Isle-d'Abeau","10 rue des Sayes","L'Isle-d'Abeau","38080","FR","","","","Du lundi au Samedi - 09:30 à 19:30","1","1","0"
"687","Boulanger Saint-Égrève","2 rue de la Trémouillère","Saint-Égrève","38120","FR","","","","Du lundi au Samedi - 09:30 à 19:30","0","0","0"
"685","Boulanger Échirolles","Centre Commercial Leclerc ""Espace Comboire""","Échirolles","38130","FR","","","","Du lundi au Samedi - 09:30 à 19:30","0","0","0"
"474481","Boulanger Chasse-sur-Rhône","1799 avenue Frédéric Mistral","Chasse-sur-Rhône","38670","FR","","","","Du lundi au Samedi - 09:30 à 19:30","0","0","0"
"688","Boulanger Roanne","Rue Alexandre Raffin","Roanne","42300","FR","","","","Du lundi au Samedi - 09:30 à 19:30","0","0","0"
"689","Boulannger Villars","ZAC de Montravel","Villars","42390","FR","","","","Du lundi au Samedi - 09:30 à 19:30","1","1","0"
"690","Boulanger Nantes","Centre Commercial Leclerc ""Paridis""","Nantes","44300","FR","","","","Du lundi au Samedi - 09:30 à 20:45","0","0","0"
"691","Boulanger Rezé","C.Cial Leclerc ""Atout Sud""","Rezé CEDEX","44406","FR","","","","Du lundi au Samedi - 10:00 à 12:30 - 14:00 à 19:30","0","0","0"
"693","Boulanger Trignac","Centre Commercial Savine face au Mac Donald. et station Total.","Trignac","44570","FR","","","","Du lundi au Samedi - 09:30 à 19:00","0","0","0"
"692","Boulanger Saint-Herblain","C.Cial Leclerc ""Atlantis""","Saint-Herblain","44800","FR","","","","Du lundi au Samedi - 10:00 à 20:00","1","1","0"
"3955","Boulanger Orléans","Rue Marie Ampère","Saran","45770","FR","","","","Du lundi au Samedi - 10:00 à 19:30","0","0","0"
"474480","Boulanger Agen","2 Rue J. Lacroix","Boé","47550","FR","","","","Du lundi au Samedi - 09:30 à 19:30","0","0","0"
"292549","Boulanger Angers-Beaucouzé","ecoparc du buisson","Beaucouzé","49070","FR","","","","Du lundi au Samedi - 10:00 à 20:00","1","1","0"
"695","Boulanger Cholet","24 rue des Pagannes","Cholet","49300","FR","","","","Du lundi au Samedi - 10:00 à 19:00","0","0","0"
"696","Boulanger Cormontreuil","2 avenue des Goisses","Cormontreuil","51350","FR","","","","Du lundi au Samedi - 09:30 à 19:30","0","0","0"
"265400","Boulanger thillois","ZAC de Thillois Nord","Thillois","51370","FR","","","","Du lundi au Samedi - 10:00 à 19:30","0","0","0"
